Rank,Company,City,State
330,Charles Schwab,SF,CA
331,Global Partners,Waltham,MA
332,PVH,New York,NY
333,Avis Budget Group,Parsippany-Troy Hills,NJ
334,Targa Resources,Houston,TX
335,Hertz Global Holdings,Estero,FL
336,Calpine,Houston,TX
337,Mutual of Omaha Insurance,Omaha,NE
338,Crown Holdings,Philadelphia,PA
339,Peter Kiewit Sons,Omaha,NE
340,Dicks Sporting Goods,Coraopolis,PA
341,PulteGroup,Atlanta,GA
342,Navistar International,Lisle,IL
343,Thrivent Financial for Lutherans,Minneapolis,MN
344,DCP Midstream,Denver,CO
345,Air Products & Chemicals,Allentown,PA
346,Veritiv,Atlanta,GA
347,AGCO,Duluth,GA
348,Genworth Financial,Richmond,VA
349,Univar,Downers Grove,IL
350,News Corp.,New York,NY
351,SpartanNash,Byron Center,MI
352,Westlake Chemical,Houston,TX
353,Williams,Tulsa,OK
354,Lam Research,Fremont,CA
355,Alaska Air Group,Seattle,WA
356,Jones Lang LaSalle,Chicago,IL
357,Anixter International,Glenview,IL
358,Campbell Soup,Camden,NJ
359,Interpublic Group,New York,NY
360,Dover,Downers Grove,IL
361,Zimmer Biomet Holdings,Warsaw,IN
362,Dean Foods,Dallas,TX
363,Foot Locker,New York,NY
364,Eversource Energy,Springfield,MA
365,Alliance Data Systems,Plano,TX
366,Fifth Third Bancorp,Cincinnati,OH
367,Quest Diagnostics,Secaucus,NJ
368,EMCOR Group,Norwalk,CT
369,W.R. Berkley,Greenwich,CT
370,WESCO International,Pittsburgh,PA
371,Coty,New York,NY
372,WEC Energy Group,Milwaukee,WI
373,Masco,Livonia,MI
374,DXC Technology,Tysons,VA
375,Auto-Owners Insurance,Lansing,MI
376,Jones Financial (Edward Jones),Des Peres,MO
377,Liberty Media,Englewood,CO
378,Erie Insurance Group,Erie,PA
379,Hershey,Hershey,PA
380,PPL,Allentown,PA
381,Huntington Ingalls Industries,Newport News,VA
382,Mosaic,Plymouth,MN
383,J.M. Smucker,Orrville,OH
384,Delek US Holdings,Brentwood,TN
385,Newmont Mining,Greenwood Village,CO
386,Constellation Brands,Victor,NY
387,Ryder System,Miami,FL
388,National Oilwell Varco,Houston,TX
389,Adobe Systems,San Jose,CA
390,LifePoint Health,Brentwood,TN
391,Tractor Supply,Brentwood,TN
392,Thor Industries,Elkhart,IN
393,Dana,Maumee,OH
394,Weyerhaeuser,Seattle,WA
395,J.B. Hunt Transport Services,Lowell,AR
396,Darden Restaurants,Orlando,FL
397,Yum China Holdings,Plano,TX
398,Blackstone Group,New York,NY
399,Berry Global Group,Evansville,IN
400,Builders FirstSource,Dallas,TX
401,Activision Blizzard,Santa Monica,CA
402,JetBlue Airways,Long Island City,NY
403,Amphenol,Wallingford,CT
404,A-Mark Precious Metals,El Segundo,CA
405,Spirit AeroSystems Holdings,Wichita,KS
406,R.R. Donnelley & Sons,Chicago,IL
407,Harris,Melbourne,FL
408,Expeditors Intl. of Washington,Seattle,WA
409,Discovery,Silver Spring,MD
410,Owens-Illinois,Perrysburg,OH
411,Sanmina,San Jose,CA
412,KeyCorp,Cleveland,OH
413,American Financial Group,Cincinnati,OH
414,Oshkosh,Oshkosh,WI
415,Rockwell Collins,Cedar Rapids,IA
416,Kindred Healthcare,Louisville,KY
417,Insight Enterprises,Tempe,AZ
418,Dr Pepper Snapple Group,Plano,TX
419,American Tower,Boston,MA
420,Fortive,Everett,WA
421,Ralph Lauren,New York,NY
422,HRG Group,New York,NY
423,Ascena Retail Group,Mahwah,NJ
424,United Rentals,Stamford,CT
425,Caseys General Stores,Ankeny,IA
426,Graybar Electric,St. Louis,MO
427,Avery Dennison,Glendale,CA
428,MasTec,Coral Gables,FL
429,CMS Energy,Jackson,MI
430,HD Supply Holdings,Atlanta,GA
431,Raymond James Financial,St. Petersburg,FL
432,NCR,Atlanta,GA
433,Hanesbrands,Winston-Salem,NC
434,Asbury Automotive Group,Duluth,GA
435,Citizens Financial Group,Providence,RI
436,Packaging Corp. of America,Lake Forest,IL
437,Alleghany,New York,NY
438,Apache,Houston,TX
439,Dillards,Little Rock,AR
440,Assurant,New York,NY
441,Franklin Resources,San Mateo,CA
442,Owens Corning,Toledo,OH
443,Motorola Solutions,Chicago,IL
444,NVR,Reston,VA
445,Rockwell Automation,Milwaukee,WI
446,TreeHouse Foods,Oak Brook,IL
447,Wynn Resorts,Las Vegas,NV
448,Olin,Clayton,MO
449,American Axle & Manufacturing,Detroit,MI
450,Old Republic International,Chicago,IL
451,Chemours,Wilmington,DE
452,iHeartMedia,San Antonio,TX
453,Ameren,St. Louis,MO
454,Arthur J. Gallagher,Rolling Meadows,IL
455,Celanese,Irving,TX
456,Sealed Air,Charlotte,NC
457,UGI,King of Prussia,PA
458,Realogy Holdings,Madison,NJ
